,id_,x,y,label,timestamp
0,11,7.3386253457771025,-1.867224200404825,sitting interactive,2022-08-24 12:25:00
1,12,6.6872680665661175,-2.149479021396252,standing interactive,2022-08-24 12:25:00
2,13,7.3386253457771025,-4.689772410319096,sitting interactive,2022-08-24 12:25:00
3,14,7.31691343647007,-5.753655966363705,sitting interactive,2022-08-24 12:25:00
4,15,11.637583388569606,-4.559500954476898,sitting individual,2022-08-24 12:25:00
5,16,5.753655966363705,-8.576204176277976,sitting interactive,2022-08-24 12:25:00
6,17,6.491860882802822,-8.597916085585007,sitting interactive,2022-08-24 12:25:00
7,18,7.121506252706775,-8.576204176277976,sitting interactive,2022-08-24 12:25:00
8,19,5.797079784977771,-10.313156920840605,sitting interactive,2022-08-24 12:25:00
9,20,6.383301336267658,-10.248021192919504,sitting interactive,2022-08-24 12:25:00
10,21,7.16493007132084,-10.269733102226535,sitting interactive,2022-08-24 12:25:00
11,22,4.516077135862832,-8.033406443602154,standing interactive,2022-08-24 12:25:00
12,23,5.275993961608982,-8.07683026221622,standing interactive,2022-08-24 12:25:00
13,24,6.25302988042546,-11.246769021043017,standing interactive,2022-08-24 12:25:00
14,25,4.9720272313105225,-11.333616658271149,standing interactive,2022-08-24 12:25:00
15,26,5.558248782600409,-10.942802290744556,standing interactive,2022-08-24 12:25:00
16,27,7.360337255084135,-11.333616658271149,standing interactive,2022-08-24 12:25:00
17,28,7.837999259838858,-11.377040476885211,standing interactive,2022-08-24 12:25:00
18,29,8.293949355286548,-11.35532856757818,standing interactive,2022-08-24 12:25:00
19,30,11.333616658271149,-11.377040476885211,standing interactive,2022-08-24 12:25:00
20,31,11.05136183727972,-11.094785655893784,standing interactive,2022-08-24 12:25:00
21,32,11.9632620281751,-10.769107016288292,standing interactive,2022-08-24 12:25:00
22,33,11.984973937482131,-10.161173555691374,standing interactive,2022-08-24 12:25:00
23,34,4.841755775468325,-2.909395847142401,sitting individual,2022-08-24 12:25:00
24,35,17.934037087609134,-9.314409092717092,sitting individual,2022-08-24 12:25:00
25,36,9.22756145548896,-8.53278035766391,sitting interactive,2022-08-24 12:25:00
26,37,9.22756145548896,-10.29144501153357,sitting interactive,2022-08-24 12:25:00
27,38,11.333616658271149,-13.439671861053334,sitting individual,2022-08-24 13:50:00
28,39,7.295201527163037,-5.797079784977771,sitting individual,2022-08-24 13:50:00
29,40,4.841755775468325,-2.9311077564494346,sitting individual,2022-08-24 13:50:00
30,41,7.01294670617161,-11.35532856757818,standing interactive,2022-08-24 13:50:00
31,42,6.318165608346559,-12.44092403292982,standing interactive,2022-08-24 13:50:00
32,43,7.77286353191776,-13.939045775115089,standing individual,2022-08-24 13:50:00
33,44,3.5390412170463543,-9.813783006778849,standing individual,2022-08-24 13:50:00
34,45,4.429229498634701,-10.465140285989833,standing individual,2022-08-24 13:50:00
35,38,11.333616658271149,-13.439671861053334,sitting individual,2022-08-24 14:50:00
36,46,11.35532856757818,-12.245516849166526,sitting individual,2022-08-24 14:50:00
37,47,10.551987923217965,-10.334868830147636,sitting individual,2022-08-24 14:50:00
38,48,4.885179594082391,-2.9311077564494346,sitting individual,2022-08-24 14:50:00
39,49,9.705223460243683,-4.906891503389423,sitting individual,2022-08-24 14:50:00
40,50,4.060127040415143,-5.471401145372278,sitting interactive,2022-08-24 14:50:00
41,51,3.452193579818223,-6.122758424583263,sitting interactive,2022-08-24 14:50:00
42,52,9.379544820638191,-12.57119548877202,standing individual,2022-08-24 14:50:00
43,38,11.333616658271149,-13.439671861053334,sitting individual,2022-08-24 15:40:00
44,46,11.35532856757818,-12.245516849166526,sitting individual,2022-08-24 15:40:00
45,47,10.551987923217965,-10.334868830147636,sitting individual,2022-08-24 15:40:00
46,52,9.379544820638191,-12.57119548877202,standing individual,2022-08-24 15:40:00
47,53,2.5185814796158104,-2.648852935458008,sitting interactive,2022-08-24 15:40:00
