,id_,x,y,label
0,10,4.408908186896834,-9.346885356221287,sitting interactive
1,12,2.66494005963542,-8.24955709637141,sitting individual
2,13,6.348827789131441,-2.2142516671970767,sitting remote
3,25,15.519356817876856,-5.094738349303008,standing interactive
4,29,20.045835889757605,-8.308342538863368,sitting individual
5,30,19.14445910488092,-5.2710946767788815,sitting individual
6,31,16.381543307758903,-7.838058998927705,sitting individual
7,32,15.970045210315199,-5.114333496800327,standing interactive
8,33,20.829641789650378,-5.2514995292815625,standing interactive
9,35,12.893607053236074,-0.3331175074544275,standing interactive
10,36,12.854416758241436,-1.5480166522882217,standing interactive
11,37,13.383485740669057,-1.038542817357921,standing interactive
12,38,12.22737203832722,-0.7838058998927705,standing interactive
