,id_,x,y,label
0,50,10.0719058136221,-1.1757088498391557,sitting individual
1,51,18.968102777405047,-1.0189476698606017,sitting remote
2,52,17.30251524013291,-5.055548054308369,sitting individual
3,53,15.538951965374174,-3.0176527145871663,sitting remote
4,54,19.222839694870196,-5.231904381784243,sitting remote
5,55,20.71207090466646,-5.9177345441904174,sitting remote
6,56,13.990935313085954,-5.858949101698459,standing individual
7,58,19.92826500477369,-8.915792111280265,sitting interactive
8,60,18.81134159742649,-9.052958143761499,sitting interactive
9,61,16.773446257705288,-9.405670798713246,sitting individual
