,id_,x,y,label
0,77,15.499761670379536,-2.9784624195925278,sitting remote
1,80,24.20000715918929,-2.5865594696461427,sitting individual
2,83,16.773446257705288,-9.523241683697162,sitting individual
3,87,10.032715518627462,-1.0973282598498786,sitting individual
4,90,20.18300192223884,-8.190771653879452,sitting individual
5,91,19.007293072399683,-1.0973282598498786,sitting individual
6,93,19.242434842367516,-5.153523791794966,sitting remote
7,94,16.420733602753543,-6.231256904147526,sitting individual
8,95,15.38219078539562,-6.290042346639483,sitting individual
9,96,13.951745018091314,-5.858949101698459,standing individual
