,id_,x,y,label
0,72,11.268480930350048,-13.483095679667398,sitting interactive
1,78,6.6655561572590845,-14.02589341234322,standing individual
2,82,10.248021192919504,-2.8442601192213033,sitting interactive
3,83,9.661799641629617,-4.407517589327668,sitting interactive
4,90,5.080586777845687,-5.753655966363705,sitting individual
5,91,15.39374369868629,-5.058874868538654,standing interactive
6,92,15.415455607993323,-8.07683026221622,standing interactive
7,94,7.078082434092709,-12.701466944614216,standing individual
8,95,12.11524539332433,-9.987478281235111,standing interactive
9,96,11.594159569955542,-9.944054462621045,standing interactive
10,97,11.724431025797738,-10.703971288367194,standing interactive
11,99,6.405013245574691,-8.597916085585007,sitting interactive
12,100,5.775367875670738,-10.269733102226537,sitting interactive
13,101,6.448437064188756,-10.20459737430544,sitting interactive
14,102,7.056370524785676,-10.226309283612471,sitting interactive
15,103,7.121506252706775,-8.728187541427205,sitting interactive
16,104,5.189146324380851,-8.46764462974281,standing interactive
17,105,7.099794343399742,-1.8889361097118578,sitting interactive
18,106,7.642592076075562,-1.867224200404825,sitting interactive
19,107,8.315661264593581,-1.867224200404825,sitting interactive
20,108,7.099794343399742,-3.4739054891252557,sitting interactive
21,109,7.77286353191776,-3.452193579818223,sitting interactive
22,110,2.9962434843705332,-5.753655966363705,sitting interactive
23,111,2.9745315750635,-5.210858233687883,sitting interactive
24,112,4.016703221801077,-5.145722505766785,sitting interactive
