,id_,x,y,label
0,77,15.499761670379536,-2.9784624195925278,sitting remote
1,79,15.40178593289294,-5.114333496800327,sitting individual
2,80,24.20000715918929,-2.5865594696461427,sitting individual
3,81,20.6532854621745,-5.9373296916877365,sitting individual
4,83,16.773446257705288,-9.523241683697162,sitting individual
5,87,10.032715518627462,-1.0973282598498786,sitting individual
6,90,20.18300192223884,-8.190771653879452,sitting individual
7,91,19.007293072399683,-1.0973282598498786,sitting individual
8,93,19.242434842367516,-5.153523791794966,sitting remote
9,94,16.420733602753543,-6.231256904147526,sitting individual
